HOG	OG	Gene Tree Parent Clade	A_granulata_2	B_glabrata_2	C_virginica_2	H_robusta_2	L_gigantea_2	O_bimaculoides_2	P_fucata_2	S_constricta_2
N5.HOG0000000	OG0000000	n3								S_constricta|evm.model.ctg599.11
N5.HOG0000001	OG0000000	n10							P_fucata|Pma_10011348	
N5.HOG0000002	OG0000000	n16								S_constricta|evm.model.ctg227.23
N5.HOG0000003	OG0000003	n4			C_virginica|XP_022337452.1				P_fucata|Pma_10016768, P_fucata|Pma_10018667, P_fucata|Pma_10019567, P_fucata|Pma_10026084	S_constricta|evm.model.ctg805.3
N5.HOG0000004	OG0000003	n20								S_constricta|evm.model.ctg1215.4, S_constricta|evm.model.ctg189.102, S_constricta|evm.model.ctg360.4
N5.HOG0000005	OG0000003	n23			C_virginica|XP_022296221.1					S_constricta|evm.model.ctg125.7, S_constricta|evm.model.ctg171.2
N5.HOG0000006	OG0000003	n25			C_virginica|XP_022296188.1, C_virginica|XP_022301452.1				P_fucata|Pma_10005546	S_constricta|evm.model.ctg367.16, S_constricta|evm.model.ctg367.17
N5.HOG0000007	OG0000003	n29			C_virginica|XP_022305689.1, C_virginica|XP_022309521.1, C_virginica|XP_022328732.1, C_virginica|XP_022328733.1, C_virginica|XP_022330423.1, C_virginica|XP_022333686.1, C_virginica|XP_022333687.1, C_virginica|XP_022333990.1, C_virginica|XP_022333991.1, C_virginica|XP_022335114.1, C_virginica|XP_022335146.1, C_virginica|XP_022339384.1				P_fucata|Pma_10010620, P_fucata|Pma_10026467, P_fucata|Pma_10026468, P_fucata|Pma_10029768	S_constricta|evm.model.ctg6522.1
N5.HOG0000008	OG0000003	n46							P_fucata|Pma_10013537, P_fucata|Pma_10022917	
N5.HOG0000009	OG0000003	n48							P_fucata|Pma_10006800	
N5.HOG0000010	OG0000003	n49							P_fucata|Pma_10012388, P_fucata|Pma_10024688, P_fucata|Pma_10024689	S_constricta|evm.model.ctg1004.8, S_constricta|evm.model.ctg101.5, S_constricta|evm.model.ctg2230.1, S_constricta|evm.model.ctg2331.1, S_constricta|evm.model.ctg2331.2, S_constricta|evm.model.ctg377.30, S_constricta|evm.model.ctg377.32_evm.model.ctg377.31, S_constricta|evm.model.ctg416.3, S_constricta|evm.model.ctg55.55
N5.HOG0000011	OG0000003	n63			C_virginica|XP_022309038.1, C_virginica|XP_022310239.1, C_virginica|XP_022310240.1, C_virginica|XP_022310854.1, C_virginica|XP_022310856.1, C_virginica|XP_022331274.1, C_virginica|XP_022337605.1, C_virginica|XP_022343542.1, C_virginica|XP_022345326.1				P_fucata|Pma_10003317, P_fucata|Pma_10004263, P_fucata|Pma_10006091, P_fucata|Pma_10008865, P_fucata|Pma_10012847, P_fucata|Pma_10014369, P_fucata|Pma_10024776, P_fucata|Pma_10024777, P_fucata|Pma_10024778, P_fucata|Pma_10026952, P_fucata|Pma_10031663, P_fucata|Pma_10031664, P_fucata|Pma_231.16	S_constricta|evm.model.ctg88.8
N5.HOG0000012	OG0000003	n96			C_virginica|XP_022339391.1				P_fucata|Pma_10.1359	S_constricta|evm.model.ctg401.21
N5.HOG0000013	OG0000003	n98			C_virginica|XP_022330926.1, C_virginica|XP_022330927.1, C_virginica|XP_022330928.1					S_constricta|evm.model.ctg859.5
N5.HOG0000014	OG0000003	n101			C_virginica|XP_022287104.1, C_virginica|XP_022287107.1, C_virginica|XP_022289652.1, C_virginica|XP_022290415.1, C_virginica|XP_022290497.1, C_virginica|XP_022290814.1, C_virginica|XP_022290815.1, C_virginica|XP_022292929.1, C_virginica|XP_022293075.1, C_virginica|XP_022293077.1, C_virginica|XP_022293080.1, C_virginica|XP_022293349.1, C_virginica|XP_022293350.1, C_virginica|XP_022293573.1, C_virginica|XP_022293578.1, C_virginica|XP_022294154.1, C_virginica|XP_022294207.1, C_virginica|XP_022294432.1, C_virginica|XP_022294646.1, C_virginica|XP_022294732.1, C_virginica|XP_022294733.1, C_virginica|XP_022294739.1, C_virginica|XP_022294740.1, C_virginica|XP_022294741.1, C_virginica|XP_022294750.1, C_virginica|XP_022295028.1, C_virginica|XP_022295064.1, C_virginica|XP_022295073.1, C_virginica|XP_022297397.1, C_virginica|XP_022299379.1, C_virginica|XP_022300762.1					
N5.HOG0000015	OG0000003	n132			C_virginica|XP_022332278.1				P_fucata|Pma_1.232, P_fucata|Pma_10001023, P_fucata|Pma_10002742, P_fucata|Pma_10003793, P_fucata|Pma_10004519, P_fucata|Pma_10004520, P_fucata|Pma_10007192, P_fucata|Pma_10021076, P_fucata|Pma_10021077, P_fucata|Pma_10028043, P_fucata|Pma_145.761, P_fucata|Pma_201.324, P_fucata|Pma_453.236, P_fucata|Pma_5.1168	S_constricta|evm.model.ctg263.18
N5.HOG0000016	OG0000003	n147			C_virginica|XP_022335781.1, C_virginica|XP_022343659.1, C_virginica|XP_022344015.1, C_virginica|XP_022344065.1				P_fucata|Pma_10002536, P_fucata|Pma_10010621, P_fucata|Pma_10012077, P_fucata|Pma_10013353, P_fucata|Pma_10022603, P_fucata|Pma_10027183, P_fucata|Pma_10031633, P_fucata|Pma_328.141	S_constricta|evm.model.ctg30.44
N5.HOG0000017	OG0000003	n161								S_constricta|evm.model.ctg125.83, S_constricta|evm.model.ctg140.26, S_constricta|evm.model.ctg140.28, S_constricta|evm.model.ctg140.29, S_constricta|evm.model.ctg142.51.1, S_constricta|evm.model.ctg1599.1, S_constricta|evm.model.ctg1708.1, S_constricta|evm.model.ctg1755.1, S_constricta|evm.model.ctg1771.1, S_constricta|evm.model.ctg1804.2, S_constricta|evm.model.ctg1840.1, S_constricta|evm.model.ctg1977.1, S_constricta|evm.model.ctg2046.10, S_constricta|evm.model.ctg2046.11, S_constricta|evm.model.ctg2046.12, S_constricta|evm.model.ctg2046.13, S_constricta|evm.model.ctg370.15, S_constricta|evm.model.ctg370.16.1, S_constricta|evm.model.ctg370.17.1, S_constricta|evm.model.ctg3910.2, S_constricta|evm.model.ctg4263.1, S_constricta|evm.model.ctg46.3, S_constricta|evm.model.ctg52.31, S_constricta|evm.model.ctg5546.1, S_constricta|evm.model.ctg791.11, S_constricta|evm.model.ctg791.12
N5.HOG0000018	OG0000003	n187							P_fucata|Pma_10018317, P_fucata|Pma_10026479	
N5.HOG0000019	OG0000003	n189			C_virginica|XP_022295699.1, C_virginica|XP_022295727.1, C_virginica|XP_022295728.1, C_virginica|XP_022299926.1, C_virginica|XP_022304396.1				P_fucata|Pma_10014538, P_fucata|Pma_10018092, P_fucata|Pma_10029971, P_fucata|Pma_10029981, P_fucata|Pma_10029982, P_fucata|Pma_10030213, P_fucata|Pma_424.232	
N5.HOG0000020	OG0000004	n1			C_virginica|XP_022290176.1, C_virginica|XP_022300903.1, C_virginica|XP_022301088.1, C_virginica|XP_022303340.1, C_virginica|XP_022303344.1, C_virginica|XP_022303346.1, C_virginica|XP_022303356.1, C_virginica|XP_022303357.1, C_virginica|XP_022303488.1, C_virginica|XP_022303537.1, C_virginica|XP_022303548.1, C_virginica|XP_022303550.1, C_virginica|XP_022303619.1, C_virginica|XP_022303685.1, C_virginica|XP_022304173.1, C_virginica|XP_022304174.1, C_virginica|XP_022304367.1, C_virginica|XP_022304589.1, C_virginica|XP_022304591.1, C_virginica|XP_022304592.1, C_virginica|XP_022304600.1, C_virginica|XP_022304875.1, C_virginica|XP_022304878.1, C_virginica|XP_022304882.1, C_virginica|XP_022304886.1, C_virginica|XP_022304915.1, C_virginica|XP_022304917.1, C_virginica|XP_022305030.1, C_virginica|XP_022305080.1, C_virginica|XP_022305088.1, C_virginica|XP_022305382.1, C_virginica|XP_022305385.1, C_virginica|XP_022305386.1, C_virginica|XP_022305387.1, C_virginica|XP_022305395.1, C_virginica|XP_022305396.1, C_virginica|XP_022305399.1, C_virginica|XP_022305401.1, C_virginica|XP_022305402.1, C_virginica|XP_022305729.1, C_virginica|XP_022305732.1, C_virginica|XP_022305735.1, C_virginica|XP_022305737.1, C_virginica|XP_022305738.1, C_virginica|XP_022305741.1, C_virginica|XP_022305742.1, C_virginica|XP_022305748.1, C_virginica|XP_022305752.1, C_virginica|XP_022305756.1, C_virginica|XP_022305757.1, C_virginica|XP_022305760.1, C_virginica|XP_022306484.1, C_virginica|XP_022306485.1, C_virginica|XP_022306488.1, C_virginica|XP_022306937.1, C_virginica|XP_022306955.1, C_virginica|XP_022306978.1, C_virginica|XP_022306990.1, C_virginica|XP_022306996.1, C_virginica|XP_022307015.1, C_virginica|XP_022307370.1, C_virginica|XP_022307748.1, C_virginica|XP_022307750.1, C_virginica|XP_022307793.1, C_virginica|XP_022307795.1, C_virginica|XP_022307818.1, C_virginica|XP_022307830.1, C_virginica|XP_022307835.1, C_virginica|XP_022307837.1, C_virginica|XP_022307841.1, C_virginica|XP_022307844.1, C_virginica|XP_022307845.1, C_virginica|XP_022307862.1, C_virginica|XP_022307866.1, C_virginica|XP_022307870.1, C_virginica|XP_022307871.1, C_virginica|XP_022307874.1, C_virginica|XP_022307879.1, C_virginica|XP_022307883.1, C_virginica|XP_022307884.1, C_virginica|XP_022308373.1, C_virginica|XP_022308423.1, C_virginica|XP_022309506.1, C_virginica|XP_022309507.1, C_virginica|XP_022309553.1, C_virginica|XP_022309674.1, C_virginica|XP_022309926.1, C_virginica|XP_022309955.1, C_virginica|XP_022310709.1, C_virginica|XP_022310759.1, C_virginica|XP_022310878.1, C_virginica|XP_022310960.1, C_virginica|XP_022311693.1, C_virginica|XP_022311697.1, C_virginica|XP_022311843.1, C_virginica|XP_022311848.1, C_virginica|XP_022312694.1, C_virginica|XP_022326735.1, C_virginica|XP_022338718.1				P_fucata|Pma_10025331	
